date,puissance_w,type_valeur,jour_semaine,pas_temps
2021-06-27 11:00:00,717.0,Mesurée,dimanche,60.0
2021-06-27 12:00:00,737.0,Mesurée,dimanche,60.0
2021-06-27 13:00:00,544.0,Mesurée,dimanche,60.0
2021-06-27 14:00:00,1536.0,Mesurée,dimanche,60.0
2021-06-27 15:00:00,1013.0,Mesurée,dimanche,60.0
2021-06-27 16:00:00,771.0,Mesurée,dimanche,60.0
2021-06-27 17:00:00,289.0,Mesurée,dimanche,60.0
2021-06-27 18:00:00,289.0,Mesurée,dimanche,60.0
2021-06-27 19:00:00,316.0,Mesurée,dimanche,60.0
2021-06-27 20:00:00,298.0,Mesurée,dimanche,60.0
2021-06-27 21:00:00,1560.0,Mesurée,dimanche,60.0
2021-06-27 22:00:00,2289.0,Mesurée,dimanche,60.0
2021-06-27 23:00:00,628.0,Mesurée,dimanche,60.0
2021-06-28 00:00:00,268.0,Mesurée,lundi,60.0
2021-06-28 01:00:00,287.0,Mesurée,lundi,60.0
2021-06-28 02:00:00,241.0,Mesurée,lundi,60.0
2021-06-28 03:00:00,617.0,Mesurée,lundi,60.0
2021-06-28 04:00:00,243.0,Mesurée,lundi,60.0
2021-06-28 05:00:00,264.0,Mesurée,lundi,60.0
2021-06-28 06:00:00,325.0,Mesurée,lundi,60.0
2021-06-28 07:00:00,893.0,Mesurée,lundi,60.0
2021-06-28 08:00:00,1275.0,Mesurée,lundi,60.0
2021-06-28 09:00:00,322.0,Mesurée,lundi,60.0
2021-06-28 10:00:00,2736.0,Mesurée,lundi,60.0
2021-06-28 11:00:00,984.0,Mesurée,lundi,60.0
2021-06-28 12:00:00,1626.0,Mesurée,lundi,60.0
2021-06-28 13:00:00,354.0,Mesurée,lundi,60.0
2021-06-28 14:00:00,1476.0,Mesurée,lundi,60.0
2021-06-28 15:00:00,733.0,Mesurée,lundi,60.0
2021-06-28 16:00:00,438.0,Mesurée,lundi,60.0
2021-06-28 17:00:00,372.0,Mesurée,lundi,60.0
2021-06-28 18:00:00,2621.0,Mesurée,lundi,60.0
2021-06-28 19:00:00,1811.0,Mesurée,lundi,60.0
2021-06-28 20:00:00,720.0,Mesurée,lundi,60.0
2021-06-28 21:00:00,1107.0,Mesurée,lundi,60.0
2021-06-28 22:00:00,1027.0,Mesurée,lundi,60.0
2021-06-28 23:00:00,1073.0,Mesurée,lundi,60.0
2021-06-29 00:00:00,278.0,Mesurée,mardi,60.0
