Identifiant PRM;Type de donnees;Date de debut;Date de fin;Grandeur physique;Grandeur metier;Etape metier;Unite;Pas en minutes
25621707630391;Courbe de charge;20/10/2020;20/10/2021;Energie active;Consommation;Comptage Brut;W;
Horodate;Valeur
2021-06-30T14:00:00+02:00;575
2021-06-30T15:00:00+02:00;4058
2021-06-30T16:00:00+02:00;2332
2021-06-30T17:00:00+02:00;2742
2021-06-30T18:00:00+02:00;3108
2021-06-30T19:00:00+02:00;589
2021-06-30T20:00:00+02:00;2637
2021-06-30T21:00:00+02:00;1781
2021-06-30T22:00:00+02:00;2124
2021-06-30T23:00:00+02:00;378
2021-07-01T00:00:00+02:00;268
2021-07-01T01:00:00+02:00;455
2021-07-01T02:00:00+02:00;292
2021-07-01T03:00:00+02:00;259
2021-07-01T04:00:00+02:00;448
2021-07-01T05:00:00+02:00;282
2021-07-01T06:00:00+02:00;394
2021-07-01T07:00:00+02:00;1217
2021-07-01T08:00:00+02:00;824
2021-07-01T09:00:00+02:00;706
2021-07-01T10:00:00+02:00;1110
2021-07-01T11:00:00+02:00;868
2021-07-01T12:00:00+02:00;363
2021-07-01T13:00:00+02:00;1157
2021-07-01T14:00:00+02:00;1511
2021-07-01T15:00:00+02:00;479
2021-07-01T16:00:00+02:00;1522
2021-07-01T17:00:00+02:00;2167
2021-07-01T18:00:00+02:00;632
2021-07-01T19:00:00+02:00;502
2021-07-01T20:00:00+02:00;2087
2021-07-01T21:00:00+02:00;3516
2021-07-01T22:00:00+02:00;1220
2021-07-01T23:00:00+02:00;839
2021-07-02T00:00:00+02:00;2032
2021-07-02T01:00:00+02:00;1063
2021-07-02T02:00:00+02:00;243
2021-07-02T03:00:00+02:00;265
2021-07-02T04:00:00+02:00;270
2021-07-02T05:00:00+02:00;562
2021-07-02T06:00:00+02:00;270
2021-07-02T07:00:00+02:00;849
2021-07-02T08:00:00+02:00;467
2021-07-02T09:00:00+02:00;1834
2021-07-02T10:00:00+02:00;895
2021-07-02T11:00:00+02:00;1243
2021-07-02T12:00:00+02:00;2134
2021-07-02T13:00:00+02:00;417
2021-07-02T14:00:00+02:00;364
2021-07-02T15:00:00+02:00;359
2021-07-02T16:00:00+02:00;327
2021-07-02T17:00:00+02:00;420
2021-07-02T18:00:00+02:00;441
2021-07-02T19:00:00+02:00;1489
2021-07-02T20:00:00+02:00;1669
2021-07-02T21:00:00+02:00;1339
2021-07-02T22:00:00+02:00;1441
2021-07-02T23:00:00+02:00;1357
2021-07-03T00:00:00+02:00;268
2021-07-03T01:00:00+02:00;253
2021-07-03T02:00:00+02:00;279
2021-07-03T03:00:00+02:00;410
2021-07-03T04:00:00+02:00;300
2021-07-03T05:00:00+02:00;448
2021-07-03T06:00:00+02:00;677
2021-07-03T07:00:00+02:00;572
2021-07-03T08:00:00+02:00;396
2021-07-03T09:00:00+02:00;470
2021-07-03T10:00:00+02:00;458
2021-07-03T11:00:00+02:00;334
2021-07-03T12:00:00+02:00;442
2021-07-03T13:00:00+02:00;1043
2021-07-03T15:00:00+02:00;1257
2021-07-03T16:00:00+02:00;430
2021-07-03T17:00:00+02:00;424
2021-07-03T18:00:00+02:00;308
2021-07-03T19:00:00+02:00;626
2021-07-03T20:00:00+02:00;430
2021-07-03T21:00:00+02:00;2927
2021-07-03T22:00:00+02:00;3141
2021-07-03T23:00:00+02:00;2747
2021-07-04T00:00:00+02:00;660
2021-07-04T01:00:00+02:00;300
2021-07-04T02:00:00+02:00;251
2021-07-04T03:00:00+02:00;244
2021-07-04T04:00:00+02:00;293
2021-07-04T05:00:00+02:00;241
2021-07-04T06:00:00+02:00;246
2021-07-04T07:00:00+02:00;600
2021-07-04T08:00:00+02:00;536
2021-07-04T09:00:00+02:00;991
2021-07-04T10:00:00+02:00;1262
2021-07-04T11:00:00+02:00;576
2021-07-04T12:00:00+02:00;298
2021-07-04T13:00:00+02:00;345
2021-07-04T14:00:00+02:00;569
2021-07-04T15:00:00+02:00;291
2021-07-04T16:00:00+02:00;292
2021-07-04T17:00:00+02:00;265
2021-07-04T18:00:00+02:00;295
2021-07-04T19:00:00+02:00;294
2021-07-04T20:00:00+02:00;269
2021-07-04T21:00:00+02:00;1083
2021-07-04T22:00:00+02:00;1124
2021-07-04T23:00:00+02:00;2074
2021-07-05T00:00:00+02:00;2338
2021-07-05T01:00:00+02:00;243
2021-07-05T02:00:00+02:00;256
2021-07-05T03:00:00+02:00;254
2021-07-05T04:00:00+02:00;235
2021-07-05T05:00:00+02:00;255
2021-07-05T06:00:00+02:00;252
2021-07-05T07:00:00+02:00;673
2021-07-05T08:00:00+02:00;2231
2021-07-05T09:00:00+02:00;681
2021-07-05T10:00:00+02:00;1018
2021-07-05T11:00:00+02:00;834
2021-07-05T12:00:00+02:00;405
2021-07-05T13:00:00+02:00;481
2021-07-05T14:00:00+02:00;456
2021-07-05T15:00:00+02:00;387
2021-07-05T16:00:00+02:00;1012
2021-07-05T17:00:00+02:00;283
2021-07-05T18:00:00+02:00;1153
2021-07-05T19:00:00+02:00;448
2021-07-05T20:00:00+02:00;1512
2021-07-05T21:00:00+02:00;2370
2021-07-05T22:00:00+02:00;723
2021-07-05T23:00:00+02:00;730
2021-07-06T00:00:00+02:00;559
2021-07-06T01:00:00+02:00;272
2021-07-06T02:00:00+02:00;271
2021-07-06T03:00:00+02:00;233
2021-07-06T04:00:00+02:00;327
2021-07-06T05:00:00+02:00;772
2021-07-06T06:00:00+02:00;243
2021-07-06T07:00:00+02:00;262
2021-07-06T08:00:00+02:00;866
2021-07-06T09:00:00+02:00;2378
2021-07-06T10:00:00+02:00;1821
2021-07-06T11:00:00+02:00;1063
2021-07-06T12:00:00+02:00;3480
2021-07-06T13:00:00+02:00;814
2021-07-06T15:00:00+02:00;904
2021-07-06T16:00:00+02:00;230
2021-07-06T17:00:00+02:00;256
2021-07-06T18:00:00+02:00;309
2021-07-06T19:00:00+02:00;1123
2021-07-06T20:00:00+02:00;2907
2021-07-06T21:00:00+02:00;562
2021-07-06T22:00:00+02:00;2004
2021-07-06T23:00:00+02:00;535
2021-07-07T00:00:00+02:00;264
2021-07-07T01:00:00+02:00;556
2021-07-07T02:00:00+02:00;273
